dept,base,txt_path,meta_path,xml_path,txt_size,core_all,core_lead,climate_all,climate_lead,procedural,meta_hits,raw,score,score_norm,pct,tier
doi,10_30_2015_2015-27639,E:\2026_capstone\policy_data\doi_data\raw_text\10_30_2015_2015-27639.txt,E:\2026_capstone\policy_data\doi_data\meta\10_30_2015_2015-27639.json,E:\2026_capstone\policy_data\doi_data\xml\10_30_2015_2015-27639.xml,124833,49,0,2,0,2,0,25.972913718757965,0.999826235858255,0.027403858699894493,0.5049019607843137,Tier3_drop
epa,10_22_2019_2019-20550,E:\2026_capstone\policy_data\epa_data\raw_text\10_22_2019_2019-20550.txt,E:\2026_capstone\policy_data\epa_data\meta\10_22_2019_2019-20550.json,E:\2026_capstone\policy_data\epa_data\xml\10_22_2019_2019-20550.xml,372656,42,0,19,0,1,0,25.945427623224163,0.9998246367906706,0.03731780806747999,0.6126760563380281,Tier3_drop
doe,12_16_2022_2022-26418,E:\2026_capstone\policy_data\doe_data\raw_text\12_16_2022_2022-26418.txt,E:\2026_capstone\policy_data\doe_data\meta\12_16_2022_2022-26418.json,E:\2026_capstone\policy_data\doe_data\xml\12_16_2022_2022-26418.xml,238930,5,0,101,2,0,0,25.94098529429941,0.999824376970269,0.11378898726182657,0.8358778625954199,Tier2_review
doi,04_05_2017_2017-06657,E:\2026_capstone\policy_data\doi_data\raw_text\04_05_2017_2017-06657.txt,E:\2026_capstone\policy_data\doi_data\meta\04_05_2017_2017-06657.json,E:\2026_capstone\policy_data\doi_data\xml\04_05_2017_2017-06657.xml,282880,35,0,30,0,0,0,25.870849561946237,0.9998202235302084,0.02728819055359581,0.5024509803921569,Tier3_drop
doi,09_08_2021_2021-19093,E:\2026_capstone\policy_data\doi_data\raw_text\09_08_2021_2021-19093.txt,E:\2026_capstone\policy_data\doi_data\meta\09_08_2021_2021-19093.json,E:\2026_capstone\policy_data\doi_data\xml\09_08_2021_2021-19093.xml,140721,45,0,7,0,1,0,25.858682791225373,0.9998194930819212,0.027274402090929923,0.5,Tier3_drop
doi,12_22_2022_2022-27089,E:\2026_capstone\policy_data\doi_data\raw_text\12_22_2022_2022-27089.txt,E:\2026_capstone\policy_data\doi_data\meta\12_22_2022_2022-27089.json,E:\2026_capstone\policy_data\doi_data\xml\12_22_2022_2022-27089.xml,179981,41,0,13,0,0,0,25.850167182002757,0.9998189800714578,0.027264751447999506,0.49754901960784315,Tier3_drop
epa,12_19_2016_2016-30194,E:\2026_capstone\policy_data\epa_data\raw_text\12_19_2016_2016-30194.txt,E:\2026_capstone\policy_data\epa_data\meta\12_19_2016_2016-30194.json,E:\2026_capstone\policy_data\epa_data\xml\12_19_2016_2016-30194.xml,131906,32,0,34,0,0,0,25.808186777884224,0.9998164296367795,0.03710155597745812,0.6056338028169014,Tier3_drop
doi,05_20_2024_2024-11025,E:\2026_capstone\policy_data\doi_data\raw_text\05_20_2024_2024-11025.txt,E:\2026_capstone\policy_data\doi_data\meta\05_20_2024_2024-11025.json,E:\2026_capstone\policy_data\doi_data\xml\05_20_2024_2024-11025.xml,163000,31,0,42,0,1,0,25.71888152001566,0.999810883936846,0.027115966902748666,0.4950980392156863,Tier3_drop
epa,11_17_2023_2023-25269,E:\2026_capstone\policy_data\epa_data\raw_text\11_17_2023_2023-25269.txt,E:\2026_capstone\policy_data\epa_data\meta\11_17_2023_2023-25269.json,E:\2026_capstone\policy_data\epa_data\xml\11_17_2023_2023-25269.xml,545447,46,0,4,0,0,0,25.598819988963466,0.9998031634466938,0.0367716541499582,0.5985915492957746,Tier3_drop
usda,12_06_2019_2019-26268,E:\2026_capstone\policy_data\usda_data\raw_text\12_06_2019_2019-26268.txt,E:\2026_capstone\policy_data\usda_data\meta\12_06_2019_2019-26268.json,E:\2026_capstone\policy_data\usda_data\xml\12_06_2019_2019-26268.xml,153701,41,0,11,0,0,0,25.551566745897933,0.9998000391371183,0.04238649666505704,0.8475836431226765,Tier2_review
doi,04_08_2021_2021-06736,E:\2026_capstone\policy_data\doi_data\raw_text\04_08_2021_2021-06736.txt,E:\2026_capstone\policy_data\doi_data\meta\04_08_2021_2021-06736.json,E:\2026_capstone\policy_data\doi_data\xml\04_08_2021_2021-06736.xml,115793,43,0,4,0,0,0,25.3636842100658,0.9997871183770703,0.026713425837446302,0.49264705882352944,Tier3_drop
usda,06_03_2016_2016-12945,E:\2026_capstone\policy_data\usda_data\raw_text\06_03_2016_2016-12945.txt,E:\2026_capstone\policy_data\usda_data\meta\06_03_2016_2016-12945.json,E:\2026_capstone\policy_data\usda_data\xml\06_03_2016_2016-12945.xml,333206,43,0,8,0,0,0,25.283457996653727,0.9997813499401074,0.04193326553148204,0.8438661710037175,Tier2_review
usda,12_20_2023_2023-27875,E:\2026_capstone\policy_data\usda_data\raw_text\12_20_2023_2023-27875.txt,E:\2026_capstone\policy_data\usda_data\meta\12_20_2023_2023-27875.json,E:\2026_capstone\policy_data\usda_data\xml\12_20_2023_2023-27875.xml,43425,26,0,40,1,0,0,25.210612136967647,0.9997759769091291,0.04181012142799852,0.8401486988847584,Tier2_review
doe,07_11_2014_2014-15656,E:\2026_capstone\policy_data\doe_data\raw_text\07_11_2014_2014-15656.txt,E:\2026_capstone\policy_data\doe_data\meta\07_11_2014_2014-15656.json,E:\2026_capstone\policy_data\doe_data\xml\07_11_2014_2014-15656.xml,322475,6,0,100,0,0,0,25.20264410261007,0.9997753812441877,0.11055028620622392,0.8320610687022901,Tier2_review
doi,02_03_2022_2022-02008,E:\2026_capstone\policy_data\doi_data\raw_text\02_03_2022_2022-02008.txt,E:\2026_capstone\policy_data\doi_data\meta\02_03_2022_2022-02008.json,E:\2026_capstone\policy_data\doi_data\xml\02_03_2022_2022-02008.xml,99574,20,0,60,0,0,0,25.162411586666042,0.9997723493191667,0.02648532586605019,0.49019607843137253,Tier3_drop
doi,03_10_2010_2010-4654,E:\2026_capstone\policy_data\doi_data\raw_text\03_10_2010_2010-4654.txt,E:\2026_capstone\policy_data\doi_data\meta\03_10_2010_2010-4654.json,E:\2026_capstone\policy_data\doi_data\xml\03_10_2010_2010-4654.xml,236071,37,0,21,0,0,0,25.153688250493232,0.9997716865493672,0.026475439808533344,0.4877450980392157,Tier3_drop
doi,08_04_2016_2016-18376,E:\2026_capstone\policy_data\doi_data\raw_text\08_04_2016_2016-18376.txt,E:\2026_capstone\policy_data\doi_data\meta\08_04_2016_2016-18376.json,E:\2026_capstone\policy_data\doi_data\xml\08_04_2016_2016-18376.xml,168372,44,0,2,0,0,0,25.127535334451093,0.9997696879547456,0.026445801006691482,0.4852941176470588,Tier3_drop
doi,09_20_2017_2017-20072,E:\2026_capstone\policy_data\doi_data\raw_text\09_20_2017_2017-20072.txt,E:\2026_capstone\policy_data\doi_data\meta\09_20_2017_2017-20072.json,E:\2026_capstone\policy_data\doi_data\xml\09_20_2017_2017-20072.xml,83128,33,0,31,0,1,0,24.987065176987336,0.9997586501710599,0.026286607777337823,0.48284313725490197,Tier3_drop
doi,07_01_2021_2021-13800,E:\2026_capstone\policy_data\doi_data\raw_text\07_01_2021_2021-13800.txt,E:\2026_capstone\policy_data\doi_data\meta\07_01_2021_2021-13800.json,E:\2026_capstone\policy_data\doi_data\xml\07_01_2021_2021-13800.xml,120571,39,0,12,0,0,0,24.87081064448666,0.9997491163143422,0.02615485783991387,0.4803921568627451,Tier3_drop
doe,03_12_2024_2024-04765,E:\2026_capstone\policy_data\doe_data\raw_text\03_12_2024_2024-04765.txt,E:\2026_capstone\policy_data\doe_data\meta\03_12_2024_2024-04765.json,E:\2026_capstone\policy_data\doe_data\xml\03_12_2024_2024-04765.xml,635503,7,0,98,0,0,0,24.712454358154275,0.9997355211573576,0.10840009052340938,0.8282442748091603,Tier2_review
doi,10_06_2015_2015-25299,E:\2026_capstone\policy_data\doi_data\raw_text\10_06_2015_2015-25299.txt,E:\2026_capstone\policy_data\doi_data\meta\10_06_2015_2015-25299.json,E:\2026_capstone\policy_data\doi_data\xml\10_06_2015_2015-25299.xml,196899,22,0,60,0,1,0,24.5383379793035,0.9997197213611944,0.02577807035566846,0.47794117647058826,Tier3_drop
doi,12_16_2020_2020-27693,E:\2026_capstone\policy_data\doi_data\raw_text\12_16_2020_2020-27693.txt,E:\2026_capstone\policy_data\doi_data\meta\12_16_2020_2020-27693.json,E:\2026_capstone\policy_data\doi_data\xml\12_16_2020_2020-27693.xml,82803,41,0,4,0,0,0,24.5303070324402,0.9997189702662139,0.025768968975069053,0.47549019607843135,Tier3_drop
usda,12_08_2009_E9-29070,E:\2026_capstone\policy_data\usda_data\raw_text\12_08_2009_E9-29070.txt,E:\2026_capstone\policy_data\usda_data\meta\12_08_2009_E9-29070.json,E:\2026_capstone\policy_data\usda_data\xml\12_08_2009_E9-29070.xml,73526,44,0,1,0,1,0,24.527059607551752,0.9997186659794858,0.040654592976806375,0.8364312267657993,Tier2_review
doi,09_09_2014_2014-21232,E:\2026_capstone\policy_data\doi_data\raw_text\09_09_2014_2014-21232.txt,E:\2026_capstone\policy_data\doi_data\meta\09_09_2014_2014-21232.json,E:\2026_capstone\policy_data\doi_data\xml\09_09_2014_2014-21232.xml,132565,40,0,8,0,0,0,24.44515771665538,0.9997108818313968,0.02567247022542867,0.4730392156862745,Tier3_drop
doe,01_10_2020_2019-26350,E:\2026_capstone\policy_data\doe_data\raw_text\01_10_2020_2019-26350.txt,E:\2026_capstone\policy_data\doe_data\meta\01_10_2020_2019-26350.json,E:\2026_capstone\policy_data\doe_data\xml\01_10_2020_2019-26350.xml,526790,8,0,93,0,0,0,24.337013116758826,0.9997002726943411,0.10675323408561249,0.8244274809160306,Tier2_review
hud,03_05_2013_2013-05170,E:\2026_capstone\policy_data\hud_data\raw_text\03_05_2013_2013-05170.txt,E:\2026_capstone\policy_data\hud_data\meta\03_05_2013_2013-05170.json,E:\2026_capstone\policy_data\hud_data\xml\03_05_2013_2013-05170.xml,161252,22,0,53,0,0,0,24.268499839276622,0.9996933509557052,0.09669681555785295,0.5294117647058824,Tier3_drop
doi,08_04_2014_2014-17692,E:\2026_capstone\policy_data\doi_data\raw_text\08_04_2014_2014-17692.txt,E:\2026_capstone\policy_data\doi_data\meta\08_04_2014_2014-17692.json,E:\2026_capstone\policy_data\doi_data\xml\08_04_2014_2014-17692.xml,97892,18,0,61,0,0,0,24.262876699031416,0.9996927758165834,0.025465893224524284,0.47058823529411764,Tier3_drop
doe,12_07_2022_2022-25747,E:\2026_capstone\policy_data\doe_data\raw_text\12_07_2022_2022-25747.txt,E:\2026_capstone\policy_data\doe_data\meta\12_07_2022_2022-25747.json,E:\2026_capstone\policy_data\doe_data\xml\12_07_2022_2022-25747.xml,220863,5,0,91,3,0,0,24.192709010217502,0.9996855076726703,0.10612025049016409,0.8206106870229007,Tier2_review
doe,10_13_2011_2011-25413,E:\2026_capstone\policy_data\doe_data\raw_text\10_13_2011_2011-25413.txt,E:\2026_capstone\policy_data\doe_data\meta\10_13_2011_2011-25413.json,E:\2026_capstone\policy_data\doe_data\xml\10_13_2011_2011-25413.xml,280563,37,0,17,0,0,0,24.118505792892478,0.9996776344308593,0.10579476135182982,0.816793893129771,Tier2_review
epa,05_06_2021_2021-08968,E:\2026_capstone\policy_data\epa_data\raw_text\05_06_2021_2021-08968.txt,E:\2026_capstone\policy_data\epa_data\meta\05_06_2021_2021-08968.json,E:\2026_capstone\policy_data\epa_data\xml\05_06_2021_2021-08968.xml,265222,11,0,81,0,0,0,23.94366690033566,0.9996582954431337,0.03416360904621866,0.5915492957746479,Tier3_drop
epa,03_26_2020_2020-04800,E:\2026_capstone\policy_data\epa_data\raw_text\03_26_2020_2020-04800.txt,E:\2026_capstone\policy_data\epa_data\meta\03_26_2020_2020-04800.json,E:\2026_capstone\policy_data\epa_data\xml\03_26_2020_2020-04800.xml,296800,40,0,8,0,0,0,23.7393665056142,0.999634223479935,0.03384169039844748,0.5845070422535211,Tier3_drop
usda,11_26_2004_04-25599,E:\2026_capstone\policy_data\usda_data\raw_text\11_26_2004_04-25599.txt,E:\2026_capstone\policy_data\usda_data\meta\11_26_2004_04-25599.json,E:\2026_capstone\policy_data\usda_data\xml\11_26_2004_04-25599.xml,1084858,34,0,28,0,0,0,23.737454127473885,0.9996339903232967,0.03931978466554627,0.8327137546468402,Tier2_review
epa,02_19_2021_2021-03391,E:\2026_capstone\policy_data\epa_data\raw_text\02_19_2021_2021-03391.txt,E:\2026_capstone\policy_data\epa_data\meta\02_19_2021_2021-03391.json,E:\2026_capstone\policy_data\epa_data\xml\02_19_2021_2021-03391.xml,70101,40,0,2,0,0,0,23.64146898225017,0.9996220949699646,0.03368743206534703,0.5774647887323944,Tier3_drop
doi,10_01_2015_2015-24443,E:\2026_capstone\policy_data\doi_data\raw_text\10_01_2015_2015-24443.txt,E:\2026_capstone\policy_data\doi_data\meta\10_01_2015_2015-24443.json,E:\2026_capstone\policy_data\doi_data\xml\10_01_2015_2015-24443.xml,566685,7,0,92,0,0,0,23.5229190284213,0.9996068684299735,0.024627307625303116,0.4681372549019608,Tier3_drop
epa,08_19_2024_2024-16953,E:\2026_capstone\policy_data\epa_data\raw_text\08_19_2024_2024-16953.txt,E:\2026_capstone\policy_data\epa_data\meta\08_19_2024_2024-16953.json,E:\2026_capstone\policy_data\epa_data\xml\08_19_2024_2024-16953.xml,344510,41,0,5,0,0,0,23.49845893391293,0.999603651257722,0.03346208937111884,0.5704225352112676,Tier3_drop
doi,12_19_2016_2016-27551,E:\2026_capstone\policy_data\doi_data\raw_text\12_19_2016_2016-27551.txt,E:\2026_capstone\policy_data\doi_data\meta\12_19_2016_2016-27551.json,E:\2026_capstone\policy_data\doi_data\xml\12_19_2016_2016-27551.xml,828894,47,0,8,0,3,0,23.426943417730037,0.999594093259677,0.02451853955896793,0.46568627450980393,Tier3_drop
doi,12_19_2019_2019-26548,E:\2026_capstone\policy_data\doi_data\raw_text\12_19_2019_2019-26548.txt,E:\2026_capstone\policy_data\doi_data\meta\12_19_2019_2019-26548.json,E:\2026_capstone\policy_data\doi_data\xml\12_19_2019_2019-26548.xml,228366,11,0,78,0,0,0,23.408737287890567,0.9995916234486677,0.02449790675940746,0.4632352941176471,Tier3_drop
epa,04_28_2014_2014-06954,E:\2026_capstone\policy_data\epa_data\raw_text\04_28_2014_2014-06954.txt,E:\2026_capstone\policy_data\epa_data\meta\04_28_2014_2014-06954.json,E:\2026_capstone\policy_data\epa_data\xml\04_28_2014_2014-06954.xml,3406808,19,0,68,0,0,0,23.348024262422996,0.9995832781407269,0.0332250476067602,0.5633802816901409,Tier3_drop
doi,07_30_2024_2024-16380,E:\2026_capstone\policy_data\doi_data\raw_text\07_30_2024_2024-16380.txt,E:\2026_capstone\policy_data\doi_data\meta\07_30_2024_2024-16380.json,E:\2026_capstone\policy_data\doi_data\xml\07_30_2024_2024-16380.xml,138096,30,0,33,0,1,0,23.277174274650523,0.9995733236774187,0.024348807895140972,0.46078431372549017,Tier3_drop
