row_index,policy_id,source_url,file_path,state_list,county_list,city_list,tribe_list,policy_level,policy_type
114,65d6821463958fc757faa662b7f21f7533f1c348,https://www.swt.usace.army.mil/Portals/41/EufaulaDraftEAtoSMPSupplement.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/65d6821463__EufaulaDraftEAtoSMPSupplement.pdf,['Oklahoma'],"['Latimer', 'McIntosh', 'Muskogee', 'Okmulgee', 'Osage']",[],[],County,
115,457d5036d204d7dd867b46b06ffead963fdcb843,https://logancountynd.com/image3/files/60a4c07d351ec85298a81a760509f5633db7f0ad.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/457d5036d2__60a4c07d351ec85298a81a760509f5633db7f0ad.pdf,['Oklahoma'],['Logan'],[],[],County,
116,051faa0867d95743674f1ef75c1c9d5935c2e54d,https://mcclain-co-ok.us/wp-content/uploads/2024/09/McClain-County-Hazard-Mitigation-Plan-2021.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/051faa0867__McClain-County-Hazard-Mitigation-Plan-2021.pdf,['Oklahoma'],['McClain'],[],[],County,
117,42fc4cbfca7175be9b4e11b1adc7cb7316209e93,https://www.swrdc.org/wp-content/uploads/2014/07/Murray-County-AHMP.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/42fc4cbfca__Murray-County-AHMP.pdf,['Oklahoma'],['Murray'],[],[],County,
118,b0c9b6849e1b157948ea7a2e44612ae4f0c06e05,https://www.oklahomacounty.org/Portals/0/Images/Emergency%20Management/OK%20CO%20HMP%202024%20Web.pdf?ver=QYVjez-PWbr-0g73bMBaKg%3D%3D,/scratch/xt2284/pdf_data/data/Oklahoma/County/b0c9b6849e__OK CO HMP 2024 Web.pdf,['Oklahoma'],['Oklahoma'],[],[],County,
119,747f08519a5b466e92e5953a7802887c5d1bac50,https://www.bia.gov/sites/default/files/dup/assets/public/pdf/idc1-030671.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/747f08519a__idc1-030671.pdf,['Oklahoma'],['Osage'],[],[],County,
120,8e53b1bca8b63130353f8b5f50c33cc39078bdfb,https://www.meramecregion.org/wp-content/uploads/2018/03/Osage-HMP-Draft-2018-web.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/8e53b1bca8__Osage-HMP-Draft-2018-web.pdf,['Oklahoma'],['Osage'],[],[],County,
121,1f913afdf3dcb30fc15892977120adfc62c1ac37,https://www.southernclimate.org/wp-content/uploads/Climate_Miami.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/1f913afdf3__Climate_Miami.pdf,['Oklahoma'],['Ottawa'],[],[],County,
122,c4298003b9ffb9896888123edcf287f822b6f683,https://pittsburg.okcounties.org/file/2022-03-07.2_1623.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/c4298003b9__2022-03-07.2_1623.pdf,['Oklahoma'],['Pittsburg'],[],[],County,
123,04d2f3fe44c57289a97c1837c2a31201fdad880d,https://adaok.com/files/HazardMitigationPlan.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/04d2f3fe44__HazardMitigationPlan.pdf,['Oklahoma'],['Pontotoc'],[],[],County,
124,0fc347856e243830d90e3c9c9aaad0b984b1c911,https://www.rogerscounty.org/DocumentCenter/View/217/Flood-Damage-Prevention-Ordinance-PDF,/scratch/xt2284/pdf_data/data/Oklahoma/County/Flood Damage Prevention Ordinance (PDF)_1.pdf,['Oklahoma'],['Rogers'],[],[],County,
125,dd4068fa775a86455670ad5e6e33bddf5d25c24c,https://seminolecountyok.com/docs/uploads/SEMINOLE%20COUNTY%20FLOOD%20DAMAGE%20PREVENTION%20ORDINANCES%20AND%20PERMIT%20APPLICATION.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/dd4068fa77__SEMINOLE COUNTY FLOOD DAMAGE PREVENTION ORDINANCES AND PERMIT APPLICATION.pdf,['Oklahoma'],['Seminole'],[],[],County,
126,43768be949bd4f714c28342a1cc35c53d13c5119,https://digitalprairie.ok.gov/digital/collection/stgovpub/id/10622/,/scratch/xt2284/pdf_data/data/Oklahoma/County/Tillman County Natural hazard mitigation plan.pdf,['Oklahoma'],['Tillman'],[],[],County,
127,d374ed8b3c4209b0cdaed2987992c6ed77a5409c,https://wagonercounty.ok.gov/DocumentCenter/View/4407/Persica-Solar-CUP-Responses,/scratch/xt2284/pdf_data/data/Oklahoma/County/Persica Solar CUP Responses.pdf,['Oklahoma'],['Wagoner'],[],[],County,
128,9c35990a272f1eab566d9403bfd2d6345c44f3a8,https://cityofcordell.com/documents/145/Washita_County_Updated_Plan__wecompress.com_.pdf,/scratch/xt2284/pdf_data/data/Oklahoma/County/9c35990a27__Washita_County_Updated_Plan__wecompress.com_.pdf,['Oklahoma'],['Washita'],[],[],County,
