pdf_path,pdf_basename,policy_id,policy_level,policy_type,state_list,county_list,city_list,tribe_list,pages_seen,text_pages,toc_pages,figure_pages,form_pages,cover_pages,ocr_conf_mean,ocr_low_conf_ratio,headings_per_page_mean,final_chunks,median_chunk_tokens,p10_chunk_tokens,p90_chunk_tokens,small_chunk_ratio_lt220
E:/2026_capstone/policy_data/pdf_data/data/Arizona/State/2004 Arizona Drought Preparedness Plan.pdf,2004 Arizona Drought Preparedness Plan.pdf,f1c94ead9b4cd569ba519154a50286736d9737f6,State,Drought Plan,"[""Arizona""]",[],[],[],118,98,0,20,0,0,0.988501498643789,0.0020042655114962627,1.6825396825396826,55,495.0,132.0,822.6000000000001,0.16363636363636364
E:/2026_capstone/policy_data/pdf_data/data/Arizona/State/SHMP_2023_Final.pdf,SHMP_2023_Final.pdf,dd08b0c96720b8ad348fb0f434857f673a48eb4f,State,Hazard Mitigation Plan,"[""Arizona""]",[],[],[],394,392,0,2,0,0,0.9885473816706305,0.0025551261241949087,2.1703056768558953,174,453.0,253.1,1075.3000000000002,0.04597701149425287
E:/2026_capstone/policy_data/pdf_data/data/Arizona/State/the-clean-arizona-plan.pdf,the-clean-arizona-plan.pdf,12d280431a37596d80c18dbff5870dd4fe0094d3,State,Climate Action Plan,"[""Arizona""]",[],[],[],190,184,0,5,0,1,0.9902025420353546,0.003336896602976164,1.2790697674418605,93,438.0,243.8,931.6,0.06451612903225806
