pdf_path,pdf_basename,policy_id,policy_level,policy_type,state_list,county_list,city_list,tribe_list,pages_seen,text_pages,toc_pages,figure_pages,form_pages,cover_pages,ocr_conf_mean,ocr_low_conf_ratio,headings_per_page_mean,final_chunks,median_chunk_tokens,p10_chunk_tokens,p90_chunk_tokens,small_chunk_ratio_lt220
/scratch/xt2284/pdf_data/data/Oklahoma/County/c4298003b9__2022-03-07.2_1623.pdf,c4298003b9__2022-03-07.2_1623.pdf,c4298003b9ffb9896888123edcf287f822b6f683,County,nan,"[""Oklahoma""]","[""Pittsburg""]",[],[],125,91,0,34,0,0,0.9859077771442827,0.008226282554513957,2.0784313725490198,21,942.0,327.0,1176.0,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/County/dd4068fa77__SEMINOLE COUNTY FLOOD DAMAGE PREVENTION ORDINANCES AND PERMIT APPLICATION.pdf,dd4068fa77__SEMINOLE COUNTY FLOOD DAMAGE PREVENTION ORDINANCES AND PERMIT APPLICATION.pdf,dd4068fa775a86455670ad5e6e33bddf5d25c24c,County,nan,"[""Oklahoma""]","[""Seminole""]",[],[],34,31,0,2,1,0,0.9884340379684682,0.008332328397803878,2.096774193548387,14,459.5,220.6,863.2000000000004,0.14285714285714285
/scratch/xt2284/pdf_data/data/Oklahoma/County/f9ca655577__Tri-State_Mining_RP-Cherokee_County_12-2008.pdf,f9ca655577__Tri-State_Mining_RP-Cherokee_County_12-2008.pdf,f9ca655577ad5ffcdb36813683153565d5de0379,County,nan,"[""Oklahoma""]","[""Cherokee""]",[],[],152,141,4,7,0,0,0.9783725907788473,0.03778153579298347,0.9056603773584906,71,590.0,288.0,1010.0,0.014084507042253521
/scratch/xt2284/pdf_data/data/Oklahoma/Federal-Tribal Collab/a3c00be275__EvaluationReport_SouthCentralCASC-TribalEngagement_Feb2024.pdf,a3c00be275__EvaluationReport_SouthCentralCASC-TribalEngagement_Feb2024.pdf,a3c00be2759be644a949311f14838eb418b7706f,Federal-Tribal Collab,Climate Adaptation,"[""Oklahoma""]",[],[],[],42,42,0,0,0,0,0.9906300613709046,0.00436992104296489,0.9428571428571428,33,696.0,540.0,852.8,0.030303030303030304
/scratch/xt2284/pdf_data/data/Oklahoma/Federal-Tribal Collab/cpn_climate_change_vulnerability_assessment_final_5.13.2016.pdf,cpn_climate_change_vulnerability_assessment_final_5.13.2016.pdf,9bab3014242a1a521d4a8964e9c4a959d724b4cb,Federal-Tribal Collab,Climate Adaptation / Vulnerability Assessment,"[""Oklahoma""]",[],[],[],123,108,0,14,0,1,0.9912206437387703,0.006853852029949072,0.9166666666666666,35,515.0,267.6,1003.4000000000001,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/02bc95d3e1__clean-water-act-section-106-tribal-guidance.pdf,02bc95d3e1__clean-water-act-section-106-tribal-guidance.pdf,02bc95d3e1e456cd30291bc78eb94622116e0b20,Federal,Water Quality / Environmental Monitoring,"[""Oklahoma""]",[],[],[],180,177,0,3,0,0,0.9877014595425284,0.009524670349102241,1.707142857142857,78,523.5,270.1,1061.6,0.038461538461538464
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/86fcabd929__bh508-R06 EPA CAIP_Submitted_October2022_508.pdf,86fcabd929__bh508-R06 EPA CAIP_Submitted_October2022_508.pdf,86fcabd929460d0f5cae0a6af70d1284740c2cd4,Federal,nan,"[""Oklahoma""]",[],[],[],62,59,0,2,0,1,0.9895235256730317,0.007837062912245224,2.048780487804878,30,516.0,221.2,1076.4,0.1
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/Fostering Partnerships to Design and Implement a Drought Contingency Plan in the Arbuckle-Simpson Aquifer.pdf,Fostering Partnerships to Design and Implement a Drought Contingency Plan in the Arbuckle-Simpson Aquifer.pdf,5157614ad73a844958190f316af3b678891656f7,Federal,nan,"[""Oklahoma""]",[],[],[],7,7,0,0,0,0,0.9755518644406249,0.041606687807295706,1.5,4,476.5,347.6,500.4,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/e55665769b__Arguello_Report_SAND_SAND2023-09029.pdf,e55665769b__Arguello_Report_SAND_SAND2023-09029.pdf,e55665769bff28dcc6bd88dcca5a80075d1b7f71,Federal,Energy / Climate & Renewable Energy Strategy,"[""Oklahoma""]","[""Hughes""]","[""Wetumka City""]","[""Alabama-Quassarte Tribal Town""]",37,30,0,7,0,0,0.9880087612336341,0.007783555110991158,0.8260869565217391,15,326.0,265.2,716.9999999999999,0.06666666666666667
/scratch/xt2284/pdf_data/data/Oklahoma/Federal/eddd2209c5__GAP-guidance.pdf,eddd2209c5__GAP-guidance.pdf,eddd2209c56de0c5ae38ffdb17d69d732b21c703,Federal,Environmental / Tribal Capacity Building,"[""Oklahoma""]","[""Caddo""]","[""Apache City""]","[""Fort Sill Apache Tribe of Oklahoma""]",99,96,0,0,1,2,0.9921608942180487,0.0015022015022015023,1.4505494505494505,46,540.0,316.0,1093.0,0.043478260869565216
